name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
Diethyl ether (ethoxyethane),708,0.0167,0.00022,3.10734E-07
Dichloromethane (DCM),1318,0.0278,0.00041,3.11077E-07
Trichloromethane (chloroform),1480,0.0267,0.00054,3.64865E-07
Trichloroethylene (TCE),1458,0.0287,0.00055,3.77229E-07
Dimethoxymethane (methylal),854,0.0188,0.00033,3.86417E-07
Methyl acetate,927,0.0245,0.00036,3.8835E-07
Acetone (propanone),786,0.023,0.00031,3.94402E-07
Acrylonitrile (ethenylnitrile),801,0.0267,0.00034,4.24469E-07
Ethyl acetate (ethyl ethanoate),894,0.0232,0.00042,4.69799E-07
Acetonitrile (ethane nitrile),779,0.0287,0.00037,4.74968E-07
2-Butanone (methyl ethyl ketone),799,0.024,0.00041,5.13141E-07
Tetrahydrofuran,880,0.0267,0.00046,5.22727E-07
Nitromethane,1129,0.0363,0.00063,5.58016E-07
n-Heptane,682,0.0198,0.00039,5.71848E-07
Tetrachloromethane (carbon tetrachloride),1583,0.0263,0.00091,5.74858E-07
111-Trichloroethane (methyl chloroform),1330,0.025,0.00079,5.93985E-07
Isopropyl acetate (isopropyl ethanoate),871,0.0223,0.00052,5.97015E-07
Methyl methacrylate,937,0.0242,0.00057,6.08324E-07
Propyl acetate (propyl ethanoate),883,0.0239,0.00054,6.11552E-07
1-2-Dichloroethane (ethylene dichloride),1246,0.0326,0.00078,6.26003E-07
Toluene,865,0.0279,0.00056,6.47399E-07
Methanol (methyl alcohol),787,0.0221,0.00054,6.8615E-07
Benzene,873,0.0282,0.0006,6.87285E-07
4-Methyl-2-pentanone (methyl isobutyl ketone),796,0.0235,0.00055,6.90955E-07
p-Xylene,861,0.0279,0.0006,6.96864E-07
Ethylbenzene,865,0.0286,0.00063,7.28324E-07
Styrene (phenylethene),900,0.032,0.0007,7.77778E-07
2-Methyl propyl ethanoate (isobutyl acetate),869,0.023,0.00068,7.82509E-07
Butyl acetate,876,0.0248,0.00069,7.87671E-07
N-N-Dimethylformamide (DMF),945,0.0344,0.00079,8.35979E-07
Hydrogen peroxide,1449,0.074,0.00125,8.62664E-07
o-Xylene,876,0.0296,0.00076,8.6758E-07
2-Heptanone (methyl n-amyl ketone),811,0.0261,0.00071,8.75462E-07
Water,999,0.0727,0.00089,8.90891E-07
