,,682,0.0167,0.00022,3.10734E-07
,,3306,0.0762,0.934,0.000743039
number,Fluid Type,density(kg/m^3),surface tension(N/m),dynamic viscosity(Pa s),kinematic viscosity(m^2/s)
3,Diethyl ether (ethoxyethane),708,0.0167,0.00022,3.11E-07
4,Dichloromethane(DCM),1318,0.0278,0.00041,3.11E-07
5,Trichloromethane (chloroform),1480,0.0267,0.00054,3.65E-07
6,Trichloroethylene (TCE),1458,0.0287,0.00055,3.77E-07
7,Dimethoxymethane (methylal),854,0.0188,0.00033,3.86E-07
8,Methyl acetate,927,0.0245,0.00036,3.88E-07
9,Acetone (propanone),786,0.023,0.00031,3.94E-07
10,Acrylonitrile (ethenylnitrile),801,0.0267,0.00034,4.24E-07
11,Ethyl acetate (ethyl ethanoate),894,0.0232,0.00042,4.70E-07
12,Acetonitrile (ethane nitrile),779,0.0287,0.00037,4.75E-07
13,2-Butanone (methyl ethyl ketone),799,0.024,0.00041,5.13E-07
14,Tetrahydrofuran,880,0.0267,0.00046,5.23E-07
15,Nitromethane,1129,0.0363,0.00063,5.58E-07
16,n-Heptane,682,0.0198,0.00039,5.72E-07
17,Tetrachloromethane (carbon tetrachloride),1583,0.0263,0.00091,5.75E-07
18,111-Trichloroethane (methyl chloroform),1330,0.025,0.00079,5.94E-07
19,Isopropyl acetate (isopropyl ethanoate),871,0.0223,0.00052,5.97E-07
20,Methyl methacrylate,937,0.0242,0.00057,6.08E-07
21,Propyl acetate (propyl ethanoate),883,0.0239,0.00054,6.12E-07
22,1-2-Dichloroethane (ethylene dichloride),1246,0.0326,0.00078,6.26E-07
23,Toluene,865,0.0279,0.00056,6.47E-07
24,Methanol (methyl alcohol),787,0.0221,0.00054,6.86E-07
25,Benzene,873,0.0282,0.0006,6.87E-07
26,4-Methyl-2-pentanone (methyl isobutyl ketone),796,0.0235,0.00055,6.91E-07
27,p-Xylene,861,0.0279,0.0006,6.97E-07
28,Ethylbenzene,865,0.0286,0.00063,7.28E-07
29,Styrene (phenylethene),900,0.032,0.0007,7.78E-07
30,2-Methyl propyl ethanoate (isobutyl acetate),869,0.023,0.00068,7.83E-07
31,Diiodomethane (methylene iodide),3306,0.0508,0.0026,7.86E-07
32,Butyl acetate,876,0.0248,0.00069,7.88E-07
33,N-N-Dimethylformamide (DMF),945,0.0344,0.00079,8.36E-07
34,Hydrogen peroxide,1449,0.074,0.00125,8.63E-07
35,o-Xylene,876,0.0296,0.00076,8.68E-07
36,2-Heptanone (methyl n-amyl ketone),811,0.0261,0.00071,8.75E-07
37,Water,999,0.0727,0.00089,8.91E-07
38,Pyridine,979,0.0367,0.00088,8.99E-07
39,Epichlorohydrin (chloromethyloxirane),1174,0.0363,0.00107,9.11E-07
40,Hydrazine,950,0.0669,0.00088,9.26E-07
41,1-2-Dichlorobenzene,1301,0.0357,0.00132,1.01E-06
42,Acetic acid (ethanoic acid),1043,0.027,0.00106,1.02E-06
43,1-4-Dioxane,1029,0.0329,0.00118,1.15E-06
44,Cyclohexane,773,0.0247,0.00089,1.15E-06
45,Benzonitrile,1001,0.0388,0.00127,1.27E-06
46,1-2-Dimethoxyethane (DME (ethylene glycol dimethyl ether),865,0.02,0.0011,1.27E-06
47,Methanoic acid (formic acid),1214,0.0377,0.00161,1.33E-06
48,Benzaldehyde,1040,0.0383,0.0014,1.35E-06
49,Ethanol (ethyl alcohol),787,0.022,0.00107,1.36E-06
50,N-Methyl-2-pyrrolidine,1025,0.0446,0.00167,1.63E-06
51,Acetophenone (1-phenylethanone),1024,0.039,0.00168,1.64E-06
52,2-Methoxyethanol (ethylene glycol monomethyl ether),960,0.0428,0.0017,1.77E-06
53,Dimethyl sulfoxide (DMSO),1095,0.0429,0.00199,1.82E-06
54,Morpholine,997,0.0388,0.00202,2.03E-06
55,Propylene carbonate,1200,0.0409,0.0025,2.08E-06
56,Cyclohexanone,942,0.0344,0.00202,2.14E-06
57,2-Ethoxyethanol (ethylene glycol monoethyl ether),925,0.0288,0.0021,2.27E-06
58,1-Propanol (n-propanol),802,0.0209,0.00195,2.43E-06
59,Isophorone,920,0.0355,0.00233,2.53E-06
60,2-Propanol (isopropyl alcohol),783,0.0233,0.00204,2.61E-06
61,Formamide (methanomide),1129,0.057,0.00334,2.96E-06
62,1-Butanol (n-butyl alcohol),806,0.025,0.00254,3.15E-06
63,Aniline,1018,0.0424,0.00385,3.78E-06
64,2-Butanol (sec-butanol),805,0.0226,0.0031,3.85E-06
65,2-Furanmethanol (furfuryl alcohol),1127,0.0533,0.00462,4.10E-06
66,Dimethylethanolamine (2-(dimethylamino)ethanol),882,0.0516,0.00408,4.63E-06
67,2-Methylpropyl alcohol (isobutanol),797,0.0226,0.00395,4.96E-06
68,Benzyl alcohol,1041,0.0368,0.00547,5.25E-06
69,Octanoic acid (caprylic acid),903,0.0279,0.00502,5.56E-06
70,2-Butoxyethanol (ethylene glycol monobutyl ether),896,0.0266,0.0064,7.14E-06
71,2-Ethyl-1-hexanol,830,0.0277,0.00627,7.55E-06
72,3-Methylphenol (m-Cresol),1030,0.0358,0.0129,1.25E-05
73,Ethylene glycol,1111,0.0484,0.0161,1.45E-05
74,Dibutyl phthalate,1043,0.0374,0.0166,1.59E-05
75,2-Aminoethanol (ethanolamine),1014,0.0483,0.0211,2.08E-05
76,Diethylene glycol,1114,0.0551,0.0302,2.71E-05
77,1-2-Propanediol (propylene glycol),1033,0.0456,0.0404,3.91E-05
78,Cyclohexanol,960,0.0334,0.0575,5.99E-05
79,Silicon tetrachloride,1645,0.0188,0.0994,6.04E-05
80,Bis(2-ethylhexyl)phthalate (BEHP),980,0.0311,0.08,8.16E-05
81,1-3-Butanediol,1002,0.0471,0.0983,9.81E-05
82,Triethanolamine,1120,0.0515,0.609,0.00054375
83,Glycerol,1257,0.0762,0.934,0.000743039
84,1-3-Butanediol_0.03,999.09,0.071932,0.001024908,1.03E-06
85,1-3-Butanediol_0.06,999.18,0.071164,0.001180266,1.18E-06
86,1-3-Butanediol_0.09,999.27,0.070396,0.001359173,1.36E-06
87,1-3-Butanediol_0.12,999.36,0.069628,0.001565199,1.57E-06
88,1-3-Butanediol_0.15,999.45,0.06886,0.001802455,1.80E-06
89,1-3-Butanediol_0.18,999.54,0.068092,0.002075675,2.08E-06
90,1-3-Butanediol_0.21,999.63,0.067324,0.002390311,2.39E-06
91,1-3-Butanediol_0.24,999.72,0.066556,0.002752639,2.75E-06
92,1-3-Butanediol_0.27,999.81,0.065788,0.00316989,3.17E-06
93,1-3-Butanediol_0.3,999.9,0.06502,0.003650388,3.65E-06
94,1-3-Butanediol_0.33,999.99,0.064252,0.004203722,4.20E-06
95,1-3-Butanediol_0.36,1000.08,0.063484,0.004840931,4.84E-06
96,1-3-Butanediol_0.39,1000.17,0.062716,0.005574729,5.57E-06
97,1-3-Butanediol_0.42,1000.26,0.061948,0.006419758,6.42E-06
98,1-3-Butanediol_0.45,1000.35,0.06118,0.007392879,7.39E-06
99,1-3-Butanediol_0.48,1000.44,0.060412,0.008513507,8.51E-06
100,1-3-Butanediol_0.51,1000.53,0.059644,0.009804002,9.80E-06
101,1-3-Butanediol_0.54,1000.62,0.058876,0.011290113,1.13E-05
102,1-3-Butanediol_0.57,1000.71,0.058108,0.013001492,1.30E-05
103,1-3-Butanediol_0.6,1000.8,0.05734,0.014972286,1.50E-05
104,1-3-Butanediol_0.63,1000.89,0.056572,0.017241816,1.72E-05
105,1-3-Butanediol_0.66,1000.98,0.055804,0.019855367,1.98E-05
106,1-3-Butanediol_0.69,1001.07,0.055036,0.022865085,2.28E-05
107,1-3-Butanediol_0.72,1001.16,0.054268,0.026331023,2.63E-05
108,1-3-Butanediol_0.75,1001.25,0.0535,0.030322335,3.03E-05
109,1-3-Butanediol_0.78,1001.34,0.052732,0.034918658,3.49E-05
110,1-3-Butanediol_0.81,1001.43,0.051964,0.040211702,4.02E-05
111,1-3-Butanediol_0.84,1001.52,0.051196,0.046307076,4.62E-05
112,1-3-Butanediol_0.87,1001.61,0.050428,0.053326399,5.32E-05
113,1-3-Butanediol_0.9,1001.7,0.04966,0.061409727,6.13E-05
114,1-3-Butanediol_0.93,1001.79,0.048892,0.070718342,7.06E-05
115,1-3-Butanediol_0.96,1001.88,0.048124,0.081437977,8.13E-05
116,1-3-Butanediol_0.99,1001.97,0.047356,0.093782517,9.36E-05
117,Triethanolamine_0.03,1002.63,0.072064,0.001082547,1.08E-06
118,Triethanolamine_0.06,1006.26,0.071428,0.001316751,1.31E-06
119,Triethanolamine_0.09,1009.89,0.070792,0.001601624,1.59E-06
